id,content,summary
bbc_4349,"Di tonga-tonga parumaon, sada palakka, tanda hamusuon, juljul",Adong do tanda-tanda hamusuon di tonga-tonga ni halak Batak.
bbc_2764,"Sada sarita tarsingot ibana nunga beredar,jala ajaranna nunga gok di bagi hon.",Sarita dohot ajaran na nunga gok di bagi halak.
bbc_3640,"marsogot, au pos, naeng dipahabis di ruar, di Porlak.","Marsogot naeng dipahabis di ruar, di Porlak."
bbc_7842,"Gorga on, dohot uarna-uarna tampak dohot detil na maol, ima gombar sajati hapistaron ni pargorga i.",Gorga i patuduhon hapistaran ni pargorga.
bbc_7439,"Ahu ikon manogu tangan na,dohot dalmet mangarambis patna asa boi ibana mardalan.",Ibana manogu tangan dohot mardalan.
bbc_5651,Sogot naeng hupangke garu on laho mangongkal holi tu suansuanan na imbaru,Garu naeng dipangke laho mangongkal holi.
bbc_5391,"Alanai protes keras Tim, walikota mambuat parulan laho manguba paraturan inganan on.",Tim protes tu walikota ala mambuat parulan.
bbc_1110,"Sian leleng, ibana sai sungkunsungkunon dohot aha naeng adong di pudina.",Ibana sai sungkunsungkunon aha na naeng adong.
bbc_3356,"dungkonsa di nasida na lobi matua luhut jolma mamuji huhut tongtong di tulak, gari andorang ibana lao.","Jolma mamuji ibana, nang pe lao."
bbc_2979,Au dang olo hamagoan jabu Ku.,Au dang olo hamagoan jabu.
bbc_4265,"Hundulma di son, parsikkolaku, parenta biksu i huhut martudu tu sada tempat di lante.",Biksu i manuruhon tempat di lante.
bbc_5635,"Alai, tingki dibereng ibana harajaon i madabu tu lubang ni kansim, asi ma rohana disi",Ibana asi marnida harajaon na madabu.
bbc_6050,Godang ni halak di porlak i sarupa dohot tiur ni ari i,Halak di porlak sarupa dohot tiur ni ari.
bbc_3078,Aha inon na naeng ulaon mu?,Ibana manungkun aha na naeng ulaon.
bbc_2699,"Debata,toktok lao manjaga pameakkonan proporsional bangunan i ruar biasa hian!",Debata manjaga pameakkonan ni bangunan.
bbc_4321,"Jadi, ibana manetaphon na manang ise na mambonsirhon hasegaan giot diuhum, dipaksa mardalan ndang marsipatu di dalan na marbatubatu sahat nasida mangantusi rasa sakit na dibahen nasida.",Uhuman tu halak na mambonsirhon hasegaan.
bbc_4611,Ibana mansai giot jongjong dohot pagistanghon patna.,Ibana giot jongjong dohot pagistanghon pat.
bbc_1280,Ibana manjalo anjuran au jala pasudahon sada minggu di lambung parundungundungan harangan langlang,Ibana pasudahon sada minggu di harangan.
bbc_5309,hanami dang boi patudoshon dirim dohot jolma na asing alana ho dakdanak dope.,Dakdanak dang boi patudoshon diri tu asing.
bbc_7721,"Ibana manukkun,""boido hamu manimbang tintin mas on?"" tingki ahu mambaenna,boratna sada syikal","Ibana manukkun tintin mas, boratna sada syikal."
bbc_7158,"Manarik hosa nabagas imana, baru didok Siap au.",Ibana manarik hosa jala mandok siap.
bbc_640,Agia pe togam pandita i alai dang boi ibana mangeperhon haputuson ni katua i.,Pandita dang boi mangeperhon haputuson ni katua.
bbc_6029,"Nang pe di hasusaan, martahan do panurirang i",Panurirang martahan di hasusaan.
bbc_3694,ndang hu sura udan tolhas ro huhut mambahenhu tonu marae sandokna,Udan ro huhut mambahen tonu marae.
bbc_5127,"Di jolo ni halisunsung na naeng ro, gabe dang mabiar be angka pangisi ni kota i.",Pangisi ni kota dang mabiar be di halisunsung.
bbc_7485,Nasida laho sahali mangan nasida dohot buah-buahan na tabo sian kobun,Nasida mangan buah-buahan na tabo sian kobun.
bbc_1819,Manang guru hea pasingothon anak sikkola alana dang marlakku na denggan?,Guru pasingothon anak sikkola ala marlakku.
bbc_1736,"Alana au rampakna, hu boto angkal patuluhon tu sahat pusuk hasea",Ibana boto patuluhon tu pusuk hasea.
bbc_4604,"Nasida matua, manat-manat mandao sian haposoonna, manandahon saedo sada masa.",Nasida manat-manat mandao sian haposoonna.
bbc_1714,jala dang adong sada jolma pe di lambung tu manaksihon transformasi na uli on,Dang adong saksihon transformasi na uli.
bbc_5427,Hasurbuon hauma on manguji haporseaon hita.,Hasurbuon hauma manguji haporseaon.
bbc_3325,sadihari hapala bangso naeng Mangain batu parbadia ni tu ginjang?,Hapala bangso naeng mangain batu parbadia.
bbc_5229,Ibana i ma guru na tongtong mangoloi angka hukum.,Guru i tongtong mangoloi hukum.
bbc_3357,ibana nungga porsuk mirdong bonton alana boban karejo.,Ibana porsuk mirdong ala boban karejo.
bbc_5664,Ingkon manat do ibana na mangan siang i,Ibana manat mangan siang.
bbc_6348,"Unang mangaluhon na mangalaosi uhum, ima na dipasingot",Dipasingot unang mangaluhon mangalaosi uhum.
bbc_2085,Nasida martahi tu marolophon huhut manongos ontangan tu dongan-dongan nasida tu ulaon bolon,Nasida martahi dohot manongos ontangan.
bbc_7427,"Ahuma,unang ibana, na marasahon moruna hahawatiron na alami",Ibana marasahon moruna hahawatiron.
bbc_4986,"Alai saonari, sai songon na adong sinse na ganjang dipaian di pusoron ni kota, na gabe manggundori rupa dohot mangarotaki kota i.",Sinse na ganjang manggundori kota.
bbc_7993,"Ibana mangawasi jabu huhut tokko kue, mamastihon side aman.",Ibana mangawasi jabu dohot tokko kue.
bbc_2207,"Anakna, ibana manyadari, marupahon sabiji halongangan dohot punasa sadasa",Anakna marupahon halongangan dohot punasa.
bbc_833,"Di bagasan jabu i, dohot sasude bongka na dipaida boha adongna, mangalehon rasa songon tingki nunga marsadi.",Jabu i mangalehon rasa songon tingki nunga marsadi.
bbc_3435,angka hitir Sa ni ma na patinda tuptup Sa di Mangalalushon barani.,Hitir patinda tuptup di mangalalushon barani.
bbc_2335,"Habiaron Nasida mamonggolhon hadameon na jotjot terjadi di jabu Nasida, mambahen halinglungan i Tonga parsiapon Nasida dibagasan menghadapi parsoalan i.",Nasida mamonggolhon hadameon di jabu.
bbc_3607,"hangoluon nasida Marupahon Tanda atim Sa habuluson,  huhut nasida ngolu dohot Sipareakan na rampak",Hangoluon nasida tanda atim habuluson.
bbc_617,"Omak nasida, na mambahen godang sahali selai na dibahen sandiri, manimpan di ruang toru tano, inganan didia ibana muse papunguhon barang barang tua",Omak mambahen selai dohot manimpan barang tua.
bbc_7841,"Nasida mandokkon ala pangajaran ni natua-tua i dilehon ragi, jala patinda huta, mambahen luat i idia tiap jolma mangalean roti dohot ias ni roha",Pangajaran ni natua-tua mambahen luat mangalean roti.
bbc_778,Dang boi ho mambege dalian na torus manorus,Dang boi mambege dalian na torus manorus.
bbc_409,"Nga huboto naeng manghatindahon hamuna di parkaron, hamu mandokhon dohot haporseaon sada halak na porsea tu hagogoon ni Debata ndang tarhasuhutan",Halak porsea tu hagogoon ni Debata.
bbc_4217,"Au nunga marhasil manompa alur na torang dohot  pintor  laho gabe koki na dumenggan, jala saonari ahu mambotosa pigapiga resep rahasia.",Ibana marhasil gabe koki na dumenggan.
bbc_5158,"Alai, dang boi nasida mamangke tiket manang manuhor tiket na imbaru.",Nasida dang boi mamangke tiket na imbaru.
bbc_4882,"Dibagasan habulusonna songon adong husiphusip tona ni hadebataon, 'Badiahon roham alana holan ho na boi mangubana.'",Adong husiphusip tona ni hadebataon.
bbc_761,Au nunga manurat puisi tontang panailian na uli on,Ibana manurat puisi tontang panailian.
bbc_7658,"Sisuruan i mangalean hormat,gabe dibaen raja nabaru dohot tudung nabagak i",Raja nabaru mangalean hormat.
bbc_4172,"Naeng adong na so porsea tu nubuat on, alai naeng adong tong angka halak na porsea.",Adong na porsea dohot na so porsea tu nubuat.
bbc_2319,"Ibana dang naeng pasombuhon boha pe mangondingi dalanna, dipagian ni ari na naeng gabe ginonggomanna, ibana naeng manontong di inganan na didia ibana boi mamahan hurje",Ibana naeng manontong inganan mamahan hurje.
bbc_2615,Akka jolma mandokkon dang au na hamagoan anakni biang i.,Jolma mandokkon dang au na hamagoan biang.
bbc_4976,au mangalimbe nasida ala hasintongan ngolu durus di sasude bongka.,Ibana mangalimbe ala hasintongan ngolu.
bbc_2280,Ahu ingkon paiashon sude konfeti sian lante.,Ahu paiashon konfeti sian lante.
bbc_3650,proposal  targora  di laoshon nang  pe punguann marusaha pir tu pamasahon sa.,Proposal targora nang pe punguann marusaha.
bbc_7195,"Huhut tarjadima, tubu dakdanak itoruni bintang na bagak, na hatubuan na iramal i toru ni huil",Tubu dakdanak itoruni bintang na bagak.
bbc_4124,"Bukka pintui, masukma tu bagasan, jala hamu naeng mangida na hamu boi mangulahon aha pe.","Masuk tu bagasan, boi mangulahon aha pe."
bbc_4237,"Sarah, nunga manungkun tu dewan, mamboto ala haputuson naeng pabadiahon dakdanak baoa siakkangan dibahen dibagasan upaya laho malinggomi kota.",Sarah manungkun tu dewan ala haputuson.
bbc_2960,Hami mamukka pardalanan nami i pat gunung.,Hami mamukka pardalanan pat gunung.
bbc_6611,"Pippin ma dohot haburjuon dohot hormat, alana molo dipaila ho tamum, Boi do mago haporseaon dohot hormar nasida, nadua i ma naso boi pamagoon mu.",Pippin mamorseahon dohot hormat.
bbc_6370,"Maol do angka cara on, ndang songon na lewat i, alai manuru dirina sandiri ma ibana, 'Gabe birubiru na najogi ma ho'",Ibana gabe birubiru na najogi.
bbc_2759,Sude jolma mamboto molo ibana dang hea martabunigon aha pe sian parhuddul ni kota.,Jolma mamboto ibana dang martabunigon.
bbc_7254,"Ibana adong isan laho mambimbing nasida, gabe panasehat na i suru hagogoan na lobi timbo",Ibana gabe panasehat na i suru hagogoan.
bbc_4962,Adong do hapistaron ni dakdanak na ummatua i laho gabe tiopan asa marprestasi ibana di kalas ni guru i?,Dakdanak na ummatua i marprestasi.
bbc_3253,"Anggia bea bea naumposo, ibana mambahen na umuli pandamehon di huta",Anggia bea mambahen pandamehon di huta.
bbc_2544,"Dukkon marminggu i sinagoga,Godang na mandulo klinik,idia halaki manjumpai pasehathon lao sahit pisik ni halaki.","Marminggu di sinagoga, mandulo klinik."
bbc_5116,"Amang, ho do na parjolo manganapai suansuan i.",Amang parjolo manganapai suansuan.
bbc_7548,"Hamu daong ma siparbagaon ni tim on, huhut sapola adong do paturehon,harbangan hamonangan naeng hot tartutup.",Hamu siparbagaon ni tim on.
bbc_1495,"Sude lanskap muba gabe panatapan na uli, tingki mataniari sundut di pudi dolokdolok na timbo",Lanskap muba gabe panatapan na uli.
bbc_4966,"Ibana, na marpangalaho menak, sanv ro pas partingkina laho manindangi hajadian i.",Ibana ro pas partingkina manindangi hajadian.
bbc_4870,"Pandita, dibagasan soara na pos huhut denggan, mangalehon injil, maniurhon  huria dohot parsiajaran ni Kristus.",Pandita mangalehon injil dohot parsiajaran.
bbc_6402,"dapothon mudumudu, pamaju dohot mangmang huhut atup sibolis hamu dohot barani.",Pamaju dohot mangmang atup sibolis.
bbc_326,Ibana naung mandalani ngolu na gok jala nunga gabe asal habisukon sagi tondong hami,Ibana nunga gabe asal habisukon.
bbc_5103,"disada tikki, ibana manggashon naeng pinda tu kota dohot holan mamboan koper na usang puna ni among na.",Ibana pinda tu kota dohot koper na usang.
bbc_6282,"Mekkel suping do ibana, laos huhut manggora sian dalan na longo.",Ibana mekkel suping di dalan na longo.
bbc_6109,"Jonok do tu palung i, di toru ni ranting ni hau na matua i, disi ma panurirang i mangalehon parsaulian na i",Panurirang mangalehon parsaulian di toru hau.
bbc_6897,"Tugu on dibaen massai leleng,  massai manguji hasabaron ni namanukkangi.",Tugu manguji hasabaron ni namanukkangi.
bbc_2618,Ibana ma Jogja na ra muse manukkun Godang hian.,Ibana manukkun Godang hian.
bbc_1555,"Sala sada biang i, di na las roha na, mamintor marlojong tu odong sinse.",Biang marlojong tu odong sinse.
bbc_1860,"Demi lumban nasida, nasida mamillit panurirang, porsea ala ibana ditodo angkup Debata, huhut molo dang alana habisukonna, nasida tupa dang lao marpogo ngolu",Nasida mamillit panurirang ala habisukonna.
bbc_5075,bongka parjolo na di padalan walikota adong ma pasidunghon tahi pembangunan kota.,Walikota pasidunghon tahi pembangunan kota.
bbc_2464,Ibana lao hu kota lao mamukka parngoluan na baru.,Ibana lao hu kota lao mamukka parngoluan.
